thread_id,email_id,quotation,quotation_code,email_final_code
152625,156500,"So I hate this rst crap with a passion, so NAK from me.",mocking,uncivil
152625,156500,"So I hate this rst crap with a passion, so NAK from me.",vulgarity,uncivil
152625,156564,"And changing the name and/or location will break that link, AFAIK.",bitter_frustration,uncivil
152625,156564,How do you plan to handle the external references?,bitter_frustration,uncivil
152625,156564,How do you plan to handle the external references?,impatience,uncivil
152625,156871,I think that's a pity.,irony,uncivil
152625,156871,please express your concern so that we have a chance to move on.,bitter_frustration,uncivil
152625,156871,"I really like them, factually valuable comments",irony,uncivil
159308,177720,If you pick some bits from another version andwant to credit someone else you can 'CC:' them or just mention it in the commit-message.,bitter_frustration,uncivil
159308,177720,If you pick some bits from another version andwant to credit someone else you can 'CC:' them or just mention it in the commit-message.,name_calling,uncivil
159308,177720,How come you don't use this in kvm_arm_set_sei_esr()?,mocking,uncivil
161354,161783,"For 2500Base-X, do you report a speed of 2500Mbps through ethtool, or are you reporting 1000Mbps?  I don't see any code in this patch that deals with that.",bitter_frustration,uncivil
165657,169349,This really can be done in a cleaner way.,impatience,uncivil
165657,169349,"And that output should not be Vulnerable"" like you force with the hackabove.""",name_calling,uncivil
165657,169349,It actually should tell WHY it is vulnerable despite having had protection in place before the module was loaded.,bitter_frustration,uncivil
165657,169349,These newlines are there to separate stuff for readability sake.,impatience,uncivil
166193,168161,I didn't get any response to a comment I've written about the point above during the previous patch iteration,impatience,uncivil
168060,169219,This does not make sense vs. the documentation:,mocking,uncivil
168668,168727,"Again, 'boutside' protection ...",impatience,uncivil
169133,177084,I think you are making changes to the symptom rather than the true cause of the problems you are seeing.,name_calling,uncivil
169133,177084,"The timer is supposed to restart the protocol again, that's how this whole thing is designed to work.",impatience,uncivil
169133,177084,"The timer is supposed to restart the protocol again, that's how this whole thing is designed to work.",bitter_frustration,uncivil
169133,177084,"Sorry, I will not apply this until the exact issue is better understood.",threat,uncivil
169133,177642,"So it is not my theory guessing, it is a real problem.",bitter_frustration,uncivil
169133,204633,I cannot apply a patch which has been corrupted by your email client like this.,bitter_frustration,uncivil
169133,204633,"You should send the patch to yourself and try to apply the patch you receive, do not send to the list until you can pass the test properly.",name_calling,uncivil
170193,170197,Who are you expecting to read it?,name_calling,uncivil
170193,170197,"You could improve things a lot by (once again) going to RST and using directives to bring in the kernel doc comments from the source (which, I note, do exist).",impatience,uncivil
170193,170197,"Most of the people reading it are likely wanting to learn how to *use* this API, I think it would be best to not leave them frustrated.",threat,uncivil
170193,170197,"So one gets this far, but has no actual idea of how to do these things.Which leads me to wonder: what is this document for?",mocking,uncivil
170193,188751,"I cannot comment on your proposal because I do not know where to find the reference you made, or maybe I do not understand what you mean :-(",bitter_frustration,uncivil
173287,173288,You can't do it this simply as it will cause deadlock due to nested locking of the buf_lock.,bitter_frustration,uncivil
173287,173288,You can't do it this simply as it will cause deadlock due to nested locking of the buf_lock.,name_calling,uncivil
174463,174508,Shouldn't there be a at least a comment to explain why zero is an appropriate initialization value in that case?,bitter_frustration,uncivil
174463,174508,I've looked at your patch for way too long now and still don't see how you've shown it to be correct.,impatience,uncivil
174735,174850,This looks really nonsensical and the commit message doesn't explain the rationale for that at all.,bitter_frustration,uncivil
174735,199553,"This makes no sense, cfr my comment on 5/5",mocking,uncivil
